idx,dialect
01,Southern_Amis
02,Xiuguluan_Amis
03,Coastal_Amis
04,Malan_Amis
05,Hengchun_Amis
06,Sekolik_Atayal
07,Zeaol_Atayal
08,Wenshui_Atayal
09,Wanda_Atayal
10,FourSeasons_Atayal
11,YilanZeaol_Atayal
13,Saisiyat
14,Thao
15,Duda_Seediq
16,Tegudaya_Seediq
17,DeluValley_Seediq
18,Zhuoqun_Bunun
19,Kaqun_Bunun
20,Tanqun_Bunun
21,Luanqun_Bunun
22,Junqun_Bunun
23,Eastern_Paiwan
24,Northern_Paiwan
25,Central_Paiwan
26,Southern_Paiwan
27,Eastern_Rukai
28,Wutai_Rukai
29,Dawu_Rukai
30,Dona_Rukai
31,Maolin_Rukai
32,Wanshan_Rukai
33,Truku
34,Kavalan
35,Tsou
36,Kanakanavu
37,Saaroa
38,Nanwang_Puyuma
39,Zhiben_Puyuma
40,Xiqun_Puyuma
41,Jianhe_Puyuma
42,Yami
43,Sakizaya
